Date,Feedback,Label,Compound_Score,Clean_data
19-Apr-20,Good service,Positive,0.4404,good service
19-Apr-20,Friendly office,Positive,0.4939,friendly office
19-Apr-20,"there are a lot of jobs of Iselco, but I hope they always prioritize the safety of consumers.",Positive,0.8201,always prioritize safety consumer
19-Apr-20,"Thank you, Iselco!",Positive,0.4199,thank iselco
19-Apr-20,Thank you very much Iselco for the immediate lighting of our barangay,Positive,0.3612,thank much iselco
19-Apr-20,Thanks iselco for the quick action! Take care. Godbless,Positive,0.75,thanks iselco quick action take care godbless
19-Apr-20,I hope the electricity will come back soon,Neutral,0.4404,hope electricity come back soon
19-Apr-20,Thank you very much to the Linemen who worked overtime,Positive,0.3612,thank much linemen work overtime
08-May-20,Thank you very much ISELCO. You have done good jobs! God bless!,Positive,0.5574,thank much iselco do good job god bless
08-May-20,Thank you very much ISELCO management.,Positive,0.3612,thank much iselco management
08-May-20,thank you and our electricity has been restored,Positive,0.5994,thank electricity restore
08-May-20,Salute to all lineman warriors.,Positive,0,salute lineman warrior
08-May-20,keep safe.,Positive,0.4404,keep safe
22-May-20,Be careful. I know you are doing everything,Positive,0.1531,careful linemen
22-May-20,Keep safe ISELCO brave men! Thank you for your priceless efforts,Positive,0.8439,brave men thank priceless effort
22-May-20,Thank you so much for helping to return the electricity. God bless.,Positive,0.8344,thank much help return electricity god bless
22-May-20,Be careful Linemans,Positive,0.1531,careful lineman
22-May-20,Will pray for your safety and protection line warriors of light. Godbless!,Positive,0.6588,pray safety protection line warrior light godbless
22-May-20,Thanks for the information God bless!,Positive,0.7959,thanks information god bless
26-Jun-21,Please explain why you only make our appliances like Christmas lights every night?,Negative,0.5859,make appliance destroy
20-Aug-21,Keep safe always. God bless,Positive,0.7783,keep safe always god bless
20-Aug-21,I hope you have consideration,Neutral,0.4404,hope consideration
20-Aug-21,"Maybe someone can collect payment at home, it is hard to go to the office",Neutral,-0.1027,someone collect payment home hard go office
23-Aug-21,I appreciate the regular updates on service interruptions.,Positive,0,appreciate regular update
23-Aug-21,The service provided is reliable,Positive,0,service provide reliable
19-Feb-22,"The service interruptions are inconvenient, but I understand that issues arise.",Negative,-0.3716,service interruption inconvenient
19-Feb-22,I hope to see better communication from ISELCO regarding outages.,Positive,0.7003,good communication regard outage
11-Mar-22,"The service is acceptable, but I would appreciate more transparency.",Positive,0.6369,service acceptable appreciate transparency
16-Mar-22,would like to receive more information about scheduled outages,Neutral,0.3612,would like receive information schedule outage
18-Mar-22,"The service is adequate, but I hope for more consistency and reliability in the future.",Positive,0.6486,service consistent reliable
18-Mar-22,I have noticed some improvements,Positive,0.3182,notice improvement
18-Mar-22,The billing process is fine,Neutral,0.2023,billing process fine
18-Mar-22,waiting for a response regarding my recent inquiry about my bill and the high charges.,Neutral,-0.2732,respond regard inquiry bill
01-Apr-22,The service interruptions are inconvenient,Negative,-0.6249,service interruption inconvenient
27-Apr-22,Please do your work right,Neutral,0.3182,please work right
03-Jan-23,Sudden brown out without notice,Negative,0,sudden brownout without notice
